[2017-09-21 16:36:38,404][ERROR][com.leocool.sgland.Server$IAPRequestHandler] java.lang.NullPointerException
[2017-09-21 16:38:39,950][ERROR][com.leocool.sgland.Server$IAPRequestHandler] java.lang.NullPointerException
[2017-09-21 16:40:10,397][ERROR][com.leocool.sgland.Server$IAPRequestHandler] java.lang.NullPointerException
[2017-09-21 16:41:34,184][ERROR][com.leocool.sgland.Server$IAPRequestHandler] java.lang.NullPointerException
[2017-09-21 16:42:16,689][ERROR][com.leocool.sgland.Server$IAPRequestHandler] java.lang.NullPointerException
[2017-09-21 16:42:17,308][ERROR][com.leocool.sgland.Server$IAPRequestHandler] java.lang.NullPointerException
[2017-09-21 16:48:17,654][ERROR][com.leocool.sgland.Server$IAPRequestHandler] java.lang.NullPointerException
[2017-09-21 16:48:19,473][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=20170921164956LIW8AO, regionId=10001, price=6, purchaseId=759, goodsName=60宝石, userId=66]
[2017-09-21 16:48:23,848][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=20170921164958827HKN, regionId=10001, price=6, purchaseId=760, goodsName=60宝石, userId=66]
[2017-09-21 16:48:26,873][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=20170921165000JHMCGK, regionId=10001, price=6, purchaseId=761, goodsName=60宝石, userId=66]
[2017-09-21 16:49:00,348][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=20170921165100S2Y23P, regionId=10001, price=6, purchaseId=762, goodsName=60宝石, userId=66]
[2017-09-21 16:50:55,722][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=201709211651473OU234, regionId=10001, price=6, purchaseId=763, goodsName=60宝石, userId=66]
[2017-09-21 17:10:26,236][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=201709211712262N735I, regionId=10001, price=6, purchaseId=780, goodsName=60宝石, userId=66]
[2017-09-21 17:10:27,607][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=20170921171227T9W4PC, regionId=10001, price=6, purchaseId=781, goodsName=60宝石, userId=66]
[2017-09-21 17:12:08,114][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=20170921171401O65DHQ, regionId=10001, price=6, purchaseId=782, goodsName=60宝石, userId=66]
[2017-09-21 17:14:52,921][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=20170921171603BXOOWW, regionId=10001, price=6, purchaseId=784, goodsName=60宝石, userId=66]
[2017-09-21 17:16:00,658][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=20170921171747DI74FM, regionId=10001, price=6, purchaseId=786, goodsName=60宝石, userId=66]
[2017-09-21 17:17:53,825][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=60, orderId=20170921171922Y95K3X, regionId=10001, price=6, purchaseId=787, goodsName=60宝石, userId=66]
[2017-09-21 17:26:56,588][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=300, orderId=20170921172856S1MDD5, regionId=10001, price=30, purchaseId=793, goodsName=300宝石, userId=66]
[2017-09-21 17:31:26,353][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=980, orderId=201709211733263ATOER, regionId=10001, price=98, purchaseId=794, goodsName=980宝石, userId=66]
[2017-09-21 17:36:18,316][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=1980, orderId=2017092117381849789C, regionId=10001, price=198, purchaseId=795, goodsName=1980宝石, userId=66]
[2017-09-21 17:37:01,307][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=3280, orderId=20170921173901ZQHV57, regionId=10001, price=328, purchaseId=796, goodsName=3280宝石, userId=66]
[2017-09-21 17:38:20,226][INFO ][com.leocool.sgland.Pay$LocalPay] [amount=6480, orderId=20170921174015KF2L2X, regionId=10001, price=648, purchaseId=797, goodsName=6480宝石, userId=66]
